trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
163,False,"{'a': 0.015, 'e': 0.19592957412690934}",20,14,10.041598528523707,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.015, 'e': 0.19398004229089189}",25,16,13.061954090593169,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.015, 'e': 0.19204990862075408}",20,11,15.461337065108177,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.015, 'e': 0.1901389801015205}",20,12,16.666050823344705,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.015, 'e': 0.1882470656387468}",20,0,-12.72670451310282,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
168,False,"{'a': 0.015, 'e': 0.18637397603940997}",20,13,8.569240871094705,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.015, 'e': 0.18451952399298926}",20,0,19.54225764417757,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
170,False,"{'a': 0.015, 'e': 0.18268352405273466}",25,11,25.099182085892497,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.015, 'e': 0.1808657926171221}",30,19,16.379316865716326,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.015, 'e': 0.17906614791149322}",25,17,14.09492189801602,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.015, 'e': 0.17728440996987782}",20,8,19.012652131072592,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.015, 'e': 0.17552040061699686}",25,9,22.566624735583893,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.015, 'e': 0.17377394345044514}",25,14,6.195355069866233,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
176,False,"{'a': 0.015, 'e': 0.17204486382305054}",25,12,3.162519470920971,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
177,False,"{'a': 0.015, 'e': 0.17033298882540943}",20,6,23.05844100798983,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.015, 'e': 0.1686381472685955}",25,19,12.217902922016552,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.015, 'e': 0.1669601696670407}",35,19,29.72671503875098,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.015, 'e': 0.16529888822158653}",20,12,-5.0900618509985955,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
181,False,"{'a': 0.015, 'e': 0.16365413680270405}",30,11,10.685981310343534,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
182,False,"{'a': 0.015, 'e': 0.16202575093388075}",30,16,-7.659745418290189,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
